InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_max,ClaimDuration_days_mean,ClaimDuration_days_max,is_inpatient_sum,is_outpatient_sum,BeneID_nunique,ClaimID_nunique,total_claims,unique_beneficiaries,inpatient_share,outpatient_share,claims_per_beneficiary,is_fraud
104640,4185.6,42000,1.44,14,5,20,24,25,25,24,0.2,0.8,1.0416666666666667,0
605670,4588.409090909091,57000,3.6742424242424243,27,62,70,117,132,132,117,0.4696969696969697,0.5303030303030303,1.1282051282051282,1
52170,350.13422818791946,3300,1.429530201342282,20,0,149,138,149,149,138,0.0,1.0,1.0797101449275361,0
280910,241.1244635193133,4080,1.088412017167382,20,0,1165,495,1165,1165,495,0.0,1.0,2.3535353535353534,1
33710,468.19444444444446,10000,0.9583333333333334,20,3,69,58,72,72,58,0.041666666666666664,0.9583333333333334,1.2413793103448276,0
35630,828.6046511627907,21000,1.5348837209302326,20,2,41,36,43,43,36,0.046511627906976744,0.9534883720930233,1.1944444444444444,0
16630,286.7241379310345,5000,0.5517241379310345,17,1,57,53,58,58,53,0.017241379310344827,0.9827586206896551,1.0943396226415094,0
16890,351.875,3300,3.7083333333333335,20,0,48,31,48,48,31,0.0,1.0,1.5483870967741935,0
14880,323.4782608695652,1800,1.4565217391304348,20,0,46,44,46,46,44,0.0,1.0,1.0454545454545454,0
10480,349.3333333333333,3300,0.4666666666666667,9,0,30,25,30,30,25,0.0,1.0,1.2,0
700,87.5,200,0.375,3,0,8,7,8,8,7,0.0,1.0,1.1428571428571428,0
170,28.333333333333332,90,0.3333333333333333,2,0,6,6,6,6,6,0.0,1.0,1.0,0
142720,277.126213592233,3300,1.3572815533980582,20,0,515,420,515,515,420,0.0,1.0,1.2261904761904763,0
348830,1357.3151750972763,57000,2.0,20,29,228,208,257,257,208,0.11284046692607004,0.8871595330739299,1.2355769230769231,1
65610,1822.5,13000,3.6666666666666665,20,9,27,35,36,36,35,0.25,0.75,1.0285714285714285,0
64050,1642.3076923076924,13000,1.641025641025641,20,9,30,38,39,39,38,0.23076923076923078,0.7692307692307693,1.0263157894736843,0
118350,1360.344827586207,17000,2.1724137931034484,28,13,74,76,87,87,76,0.14942528735632185,0.8505747126436781,1.144736842105263,0
19840,261.05263157894734,3300,1.0921052631578947,20,0,76,56,76,76,56,0.0,1.0,1.3571428571428572,0
29840,563.0188679245283,3300,2.1320754716981134,20,0,53,44,53,53,44,0.0,1.0,1.2045454545454546,0
30660,329.6774193548387,3300,0.6989247311827957,20,0,93,79,93,93,79,0.0,1.0,1.1772151898734178,0
739760,4326.081871345029,57000,3.198830409356725,23,82,89,145,171,171,145,0.47953216374269003,0.52046783625731,1.1793103448275861,0
359720,1944.4324324324325,68000,2.0,20,28,157,157,185,185,157,0.15135135135135136,0.8486486486486486,1.178343949044586,0
5420,235.65217391304347,2900,0.9130434782608695,12,0,23,21,23,23,21,0.0,1.0,1.0952380952380953,0
32560,1085.3333333333333,29000,2.2666666666666666,20,1,29,25,30,30,25,0.03333333333333333,0.9666666666666667,1.2,0
74880,269.3525179856115,4400,1.0503597122302157,20,0,278,131,278,278,131,0.0,1.0,2.122137404580153,0
342230,753.8105726872246,23000,1.5330396475770924,20,23,431,206,454,454,206,0.05066079295154185,0.9493392070484582,2.203883495145631,1
265490,1882.9078014184397,17000,1.7801418439716312,24,30,111,107,141,141,107,0.2127659574468085,0.7872340425531915,1.3177570093457944,0
74470,865.9302325581396,21000,1.6627906976744187,33,9,77,69,86,86,69,0.10465116279069768,0.8953488372093024,1.2463768115942029,0
7410,217.94117647058823,3200,2.3529411764705883,20,0,34,31,34,34,31,0.0,1.0,1.096774193548387,0
48050,338.38028169014086,3300,1.232394366197183,20,0,142,128,142,142,128,0.0,1.0,1.109375,0
4480,194.7826086956522,1100,0.0,0,0,23,20,23,23,20,0.0,1.0,1.15,0
21330,361.52542372881356,3300,2.152542372881356,20,0,59,39,59,59,39,0.0,1.0,1.5128205128205128,0
8390,270.64516129032256,3300,2.2580645161290325,20,0,31,29,31,31,29,0.0,1.0,1.0689655172413792,0
109370,2878.157894736842,38000,1.631578947368421,20,8,30,26,38,38,26,0.21052631578947367,0.7894736842105263,1.4615384615384615,0
2530,230.0,1300,3.090909090909091,20,0,11,11,11,11,11,0.0,1.0,1.0,0
27700,728.9473684210526,7000,0.6052631578947368,10,4,34,33,38,38,33,0.10526315789473684,0.8947368421052632,1.1515151515151516,0
21720,305.9154929577465,3300,1.7887323943661972,20,0,71,65,71,71,65,0.0,1.0,1.0923076923076922,0
30800,669.5652173913044,9000,2.282608695652174,20,2,44,37,46,46,37,0.043478260869565216,0.9565217391304348,1.2432432432432432,1
8000,8000.0,8000,5.0,5,1,0,1,1,1,1,1.0,0.0,1.0,0
15130,265.43859649122805,1900,2.3508771929824563,20,0,57,40,57,57,40,0.0,1.0,1.425,0
21640,983.6363636363636,16000,0.5909090909090909,6,2,20,22,22,22,22,0.09090909090909091,0.9090909090909091,1.0,0
14700,668.1818181818181,5000,0.7272727272727273,5,2,20,21,22,22,21,0.09090909090909091,0.9090909090909091,1.0476190476190477,0
6830,1366.0,3300,0.0,0,0,5,4,5,5,4,0.0,1.0,1.25,0
107030,1289.5180722891566,57000,1.3012048192771084,20,5,78,75,83,83,75,0.060240963855421686,0.9397590361445783,1.1066666666666667,0
421060,4386.041666666667,57000,2.4791666666666665,35,25,71,82,96,96,82,0.2604166666666667,0.7395833333333334,1.170731707317073,1
43710,1040.7142857142858,14000,2.3095238095238093,20,5,37,42,42,42,42,0.11904761904761904,0.8809523809523809,1.0,0
54940,378.8965517241379,6700,2.393103448275862,20,1,144,67,145,145,67,0.006896551724137931,0.993103448275862,2.1641791044776117,0
153380,386.3476070528967,25000,1.5969773299748111,20,3,394,166,397,397,166,0.007556675062972292,0.9924433249370277,2.391566265060241,0
51110,343.02013422818794,3300,1.610738255033557,20,0,149,115,149,149,115,0.0,1.0,1.2956521739130435,0
360320,1189.1749174917493,37000,1.9504950495049505,29,36,267,227,303,303,227,0.1188118811881188,0.8811881188118812,1.3348017621145374,1
76570,2734.6428571428573,11000,2.9285714285714284,20,10,18,26,28,28,26,0.35714285714285715,0.6428571428571429,1.0769230769230769,0
24790,1032.9166666666667,15000,1.0833333333333333,20,2,22,21,24,24,21,0.08333333333333333,0.9166666666666666,1.1428571428571428,0
334520,5767.586206896552,83000,2.310344827586207,23,12,46,49,58,58,49,0.20689655172413793,0.7931034482758621,1.183673469387755,1
143260,548.8888888888889,19000,1.3754789272030652,20,9,252,214,261,261,214,0.034482758620689655,0.9655172413793104,1.219626168224299,0
125410,1266.7676767676767,22000,1.9090909090909092,20,10,89,69,99,99,69,0.10101010101010101,0.898989898989899,1.434782608695652,0
8550,356.25,3200,2.0833333333333335,20,0,24,24,24,24,24,0.0,1.0,1.0,0
119170,562.122641509434,14000,1.5377358490566038,20,12,200,160,212,212,160,0.05660377358490566,0.9433962264150944,1.325,0
41170,1055.6410256410256,15000,1.8974358974358974,20,5,34,39,39,39,39,0.1282051282051282,0.8717948717948718,1.0,0
8550,502.94117647058823,3000,1.1764705882352942,20,0,17,13,17,17,13,0.0,1.0,1.3076923076923077,0
10230,352.7586206896552,3300,1.1724137931034482,20,0,29,27,29,29,27,0.0,1.0,1.0740740740740742,0
204350,6192.424242424242,56000,4.181818181818182,20,16,17,30,33,33,30,0.48484848484848486,0.5151515151515151,1.1,1
78270,3403.0434782608695,16000,2.652173913043478,21,9,14,23,23,23,23,0.391304347826087,0.6086956521739131,1.0,0
124080,620.4,48000,1.62,20,6,194,131,200,200,131,0.03,0.97,1.5267175572519085,0
5470,160.88235294117646,1000,1.1764705882352942,20,0,34,31,34,34,31,0.0,1.0,1.096774193548387,0
18100,201.11111111111111,3300,1.3777777777777778,20,0,90,81,90,90,81,0.0,1.0,1.1111111111111112,0
215580,1959.8181818181818,45000,1.6727272727272726,28,20,90,85,110,110,85,0.18181818181818182,0.8181818181818182,1.2941176470588236,1
446170,3209.856115107914,57000,2.7985611510791366,20,31,108,115,139,139,115,0.22302158273381295,0.7769784172661871,1.208695652173913,0
230900,1012.719298245614,41000,1.6929824561403508,20,18,210,197,228,228,197,0.07894736842105263,0.9210526315789473,1.1573604060913705,0
5830,832.8571428571429,3300,5.714285714285714,20,0,7,7,7,7,7,0.0,1.0,1.0,0
9270,210.6818181818182,2100,0.9318181818181818,20,0,44,44,44,44,44,0.0,1.0,1.0,0
13710,1523.3333333333333,11000,1.4444444444444444,11,2,7,9,9,9,9,0.2222222222222222,0.7777777777777778,1.0,0
3200,640.0,2100,4.0,20,0,5,5,5,5,5,0.0,1.0,1.0,0
44420,355.36,3500,1.744,20,0,125,71,125,125,71,0.0,1.0,1.7605633802816902,0
300,75.0,200,0.0,0,0,4,4,4,4,4,0.0,1.0,1.0,0
78000,15600.0,33000,6.0,9,5,0,5,5,5,5,1.0,0.0,1.0,0
16600,5533.333333333333,13000,3.3333333333333335,6,3,0,3,3,3,3,1.0,0.0,1.0,0
148000,12333.333333333334,47000,4.0,10,12,0,11,12,12,11,1.0,0.0,1.0909090909090908,0
440,73.33333333333333,200,0.0,0,0,6,4,6,6,4,0.0,1.0,1.5,1
1900,158.33333333333334,700,1.1666666666666667,14,0,12,9,12,12,9,0.0,1.0,1.3333333333333333,0
6540,545.0,1800,3.3333333333333335,20,0,12,12,12,12,12,0.0,1.0,1.0,0
156000,8210.526315789473,22000,5.2631578947368425,16,19,0,19,19,19,19,1.0,0.0,1.0,0
18000,6000.0,8000,6.333333333333333,9,3,0,3,3,3,3,1.0,0.0,1.0,0
27000,5400.0,9000,10.2,28,5,0,5,5,5,5,1.0,0.0,1.0,0
54860,415.6060606060606,7010,2.462121212121212,20,0,132,85,132,132,85,0.0,1.0,1.5529411764705883,0
105250,346.2171052631579,4100,1.8453947368421053,20,0,304,195,304,304,195,0.0,1.0,1.558974358974359,0
46390,351.43939393939394,3300,1.5454545454545454,20,0,132,78,132,132,78,0.0,1.0,1.6923076923076923,0
76720,292.82442748091603,8200,1.1984732824427482,20,0,262,160,262,262,160,0.0,1.0,1.6375,0
980,140.0,600,0.0,0,0,7,6,7,7,6,0.0,1.0,1.1666666666666667,0
1950,162.5,1400,1.75,20,0,12,10,12,12,10,0.0,1.0,1.2,0
136000,8500.0,22000,4.25,13,16,0,16,16,16,16,1.0,0.0,1.0,0
1080580,11374.526315789473,118000,6.042105263157895,35,94,1,81,95,95,81,0.9894736842105263,0.010526315789473684,1.1728395061728396,1
52000,7428.571428571428,15000,4.142857142857143,6,7,0,7,7,7,7,1.0,0.0,1.0,0
81080,11582.857142857143,45000,5.571428571428571,10,6,1,7,7,7,7,0.8571428571428571,0.14285714285714285,1.0,0
1120,160.0,500,0.0,0,0,7,7,7,7,7,0.0,1.0,1.0,0
26910,868.0645161290323,5000,2.4838709677419355,20,2,29,28,31,31,28,0.06451612903225806,0.9354838709677419,1.1071428571428572,0
131310,2735.625,30000,2.4791666666666665,20,12,36,32,48,48,32,0.25,0.75,1.5,0
177000,8850.0,25000,6.5,28,20,0,14,20,20,14,1.0,0.0,1.4285714285714286,1
102220,2044.4,29000,2.34,20,5,45,38,50,50,38,0.1,0.9,1.3157894736842106,0
22920,238.75,2000,1.3541666666666667,20,0,96,65,96,96,65,0.0,1.0,1.476923076923077,0
4970,710.0,3100,2.857142857142857,20,0,7,7,7,7,7,0.0,1.0,1.0,0
1160,145.0,800,0.0,0,0,8,8,8,8,8,0.0,1.0,1.0,0
5330,666.25,4000,1.75,6,1,7,6,8,8,6,0.125,0.875,1.3333333333333333,0
7610,507.3333333333333,2900,2.6666666666666665,20,0,15,12,15,15,12,0.0,1.0,1.25,0
300,60.0,90,0.0,0,0,5,2,5,5,2,0.0,1.0,2.5,0
20000,20000.0,20000,2.0,2,1,0,1,1,1,1,1.0,0.0,1.0,0
16050,291.8181818181818,6000,0.2,7,1,54,51,55,55,51,0.01818181818181818,0.9818181818181818,1.0784313725490196,0
13430,516.5384615384615,6000,1.5384615384615385,20,1,25,21,26,26,21,0.038461538461538464,0.9615384615384616,1.2380952380952381,0
52580,1222.7906976744187,14000,2.4651162790697674,20,7,36,42,43,43,42,0.16279069767441862,0.8372093023255814,1.0238095238095237,0
453130,930.4517453798768,16000,2.1047227926078027,29,47,440,394,487,487,394,0.09650924024640657,0.9034907597535934,1.236040609137056,0
19490,274.50704225352115,1900,1.732394366197183,20,0,71,37,71,71,37,0.0,1.0,1.9189189189189189,0
104570,2050.392156862745,57000,1.9215686274509804,22,7,44,38,51,51,38,0.13725490196078433,0.8627450980392157,1.3421052631578947,0
20450,265.5844155844156,3300,0.987012987012987,20,0,77,68,77,77,68,0.0,1.0,1.1323529411764706,0
61220,2040.6666666666667,33000,1.8,20,4,26,29,30,30,29,0.13333333333333333,0.8666666666666667,1.0344827586206897,0
1606350,7952.227722772277,46000,4.900990099009901,35,161,41,161,202,202,161,0.7970297029702971,0.20297029702970298,1.2546583850931676,1
1680910,4775.3125,57000,3.4232954545454546,30,162,190,334,352,352,334,0.4602272727272727,0.5397727272727273,1.0538922155688624,1
8860,276.875,3300,2.5,20,0,32,32,32,32,32,0.0,1.0,1.0,0
488660,1480.7878787878788,37000,1.8484848484848484,20,34,296,263,330,330,263,0.10303030303030303,0.896969696969697,1.2547528517110267,1
1120680,7572.1621621621625,57000,4.6891891891891895,26,116,32,136,148,148,136,0.7837837837837838,0.21621621621621623,1.088235294117647,1
201300,863.9484978540772,16000,1.6952789699570816,20,22,211,225,233,233,225,0.0944206008583691,0.9055793991416309,1.0355555555555556,0
25770,310.48192771084337,3300,1.7228915662650603,20,0,83,39,83,83,39,0.0,1.0,2.128205128205128,0
71490,821.7241379310345,34000,1.4022988505747127,20,4,83,83,87,87,83,0.04597701149425287,0.9540229885057471,1.0481927710843373,0
45750,284.16149068322983,8100,1.3229813664596273,20,0,161,147,161,161,147,0.0,1.0,1.0952380952380953,0
26330,228.95652173913044,3300,1.0434782608695652,20,0,115,110,115,115,110,0.0,1.0,1.0454545454545454,0
140640,259.48339483394835,3300,1.367158671586716,20,0,542,425,542,542,425,0.0,1.0,1.275294117647059,0
797790,1402.091388400703,57000,1.7398945518453428,35,65,504,506,569,569,506,0.11423550087873462,0.8857644991212654,1.1245059288537549,1
872020,7649.298245614035,57000,4.87719298245614,30,90,24,110,114,114,110,0.7894736842105263,0.21052631578947367,1.0363636363636364,0
556980,1424.5012787723786,41000,1.659846547314578,30,41,350,334,391,391,334,0.10485933503836317,0.8951406649616368,1.1706586826347305,0
329700,3364.285714285714,57000,2.4489795918367347,35,26,72,97,98,98,97,0.2653061224489796,0.7346938775510204,1.0103092783505154,0
24870,4974.0,22000,3.2,16,1,4,5,5,5,5,0.2,0.8,1.0,0
51980,273.57894736842104,3300,1.7421052631578948,20,0,190,182,190,190,182,0.0,1.0,1.043956043956044,0
80470,924.9425287356322,25000,0.7701149425287356,16,9,78,86,87,87,86,0.10344827586206896,0.896551724137931,1.0116279069767442,0
19380,251.6883116883117,3300,1.4935064935064934,20,0,77,74,77,77,74,0.0,1.0,1.0405405405405406,0
145820,9113.75,57000,3.125,27,8,8,16,16,16,16,0.5,0.5,1.0,1
13820,234.23728813559322,3300,1.576271186440678,20,0,59,59,59,59,59,0.0,1.0,1.0,0
96290,4376.818181818182,29000,4.318181818181818,23,7,15,21,22,22,21,0.3181818181818182,0.6818181818181818,1.0476190476190477,1
9650,235.3658536585366,2100,0.6585365853658537,20,0,41,39,41,41,39,0.0,1.0,1.0512820512820513,0
145980,328.0449438202247,7500,2.0651685393258425,20,0,445,399,445,445,399,0.0,1.0,1.1152882205513786,0
431180,6633.538461538462,43000,4.523076923076923,35,34,31,64,65,65,64,0.5230769230769231,0.47692307692307695,1.015625,1
5000,192.30769230769232,1400,0.8076923076923077,20,0,26,26,26,26,26,0.0,1.0,1.0,0
94240,730.5426356589147,41000,1.6124031007751938,20,2,127,86,129,129,86,0.015503875968992248,0.9844961240310077,1.5,0
2150,215.0,800,2.6,20,0,10,10,10,10,10,0.0,1.0,1.0,0
355790,3148.5840707964603,38000,2.504424778761062,28,41,72,105,113,113,105,0.36283185840707965,0.6371681415929203,1.0761904761904761,0
1590,198.75,500,0.0,0,0,8,8,8,8,8,0.0,1.0,1.0,0
100,50.0,50,0.0,0,0,2,2,2,2,2,0.0,1.0,1.0,0
8740,156.07142857142858,1600,0.6071428571428571,20,0,56,51,56,56,51,0.0,1.0,1.0980392156862746,0
39310,595.6060606060606,15000,0.6060606060606061,15,3,63,64,66,66,64,0.045454545454545456,0.9545454545454546,1.03125,0
10990,343.4375,3000,3.15625,20,0,32,30,32,32,30,0.0,1.0,1.0666666666666667,0
18540,2060.0,14000,0.6666666666666666,5,2,7,9,9,9,9,0.2222222222222222,0.7777777777777778,1.0,0
197060,273.69444444444446,4300,1.4027777777777777,20,0,720,432,720,720,432,0.0,1.0,1.6666666666666667,0
